Initial data (entries count: 250):
----------------------------------------------------------------------------------------------------
Title                         Year      Rating    Hash1               Hash2               
----------------------------------------------------------------------------------------------------
The Shawshank Redemption      1994      9.3       0                   0                   
The Godfather                 1972      9.2       0                   0                   
The Dark Knight               1908      9         0                   0                   
The Godfather Part II         1974      9         0                   0                   
12 Angry Men                  1957      9         0                   0                   
Schindler's List              1993      9         0                   0                   
The Lord of the Rings: The... 1903      9         0                   0                   
Pulp Fiction                  1994      8.9       0                   0                   
The Lord of the Rings: The... 1901      8.8       0                   0                   
The Good, the Bad and the Ugly1966      8.8       0                   0                   
Forrest Gump                  1994      8.8       0                   0                   
Fight Club                    1999      8.8       0                   0                   
The Lord of the Rings: The... 1902      8.8       0                   0                   
Inception                     1910      8.8       0                   0                   
Star Wars: Episode V - The... 1980      8.7       0                   0                   
The Matrix                    1999      8.7       0                   0                   
Goodfellas                    1990      8.7       0                   0                   
One Flew Over the Cuckoo's... 1975      8.7       0                   0                   
Se7en                         1995      8.6       0                   0                   
Seven Samurai                 1954      8.6       0                   0                   
It's a Wonderful Life         1946      8.6       0                   0                   
The Silence of the Lambs      1991      8.6       0                   0                   
City of God                   1902      8.6       0                   0                   
Saving Private Ryan           1998      8.6       0                   0                   
Interstellar                  1914      8.6       0                   0                   
Life Is Beautiful             1997      8.6       0                   0                   
The Green Mile                1999      8.6       0                   0                   
Star Wars: Episode IV - A ... 1977      8.6       0                   0                   
Terminator 2: Judgment Day    1991      8.6       0                   0                   
Back to the Future            1985      8.5       0                   0                   
Spirited Away                 1901      8.6       0                   0                   
The Pianist                   1902      8.5       0                   0                   
Psycho                        1960      8.5       0                   0                   
Parasite                      1919      8.5       0                   0                   
Léon: The Professional       1994      8.5       0                   0                   
The Lion King                 1994      8.5       0                   0                   
Gladiator                     1900      8.5       0                   0                   
American History X            1998      8.5       0                   0                   
The Departed                  1906      8.5       0                   0                   
The Usual Suspects            1995      8.5       0                   0                   
The Prestige                  1906      8.5       0                   0                   
Whiplash                      1914      8.5       0                   0                   
Casablanca                    1942      8.5       0                   0                   
Grave of the Fireflies        1988      8.5       0                   0                   
Harakiri                      1962      8.6       0                   0                   
The Intouchables              1911      8.5       0                   0                   
Modern Times                  1936      8.5       0                   0                   
Once Upon a Time in the West  1968      8.5       0                   0                   
Rear Window                   1954      8.5       0                   0                   
Cinema Paradiso               1988      8.5       0                   0                   
Alien                         1979      8.5       0                   0                   
City Lights                   1931      8.5       0                   0                   
Apocalypse Now                1979      8.5       0                   0                   
Memento                       1900      8.4       0                   0                   
Django Unchained              1912      8.4       0                   0                   
Indiana Jones and the Raid... 1981      8.4       0                   0                   
WALL·E                       1908      8.4       0                   0                   
The Lives of Others           1906      8.4       0                   0                   
Sunset Blvd.                  1950      8.4       0                   0                   
